key,place_name,admin_name1,latitude,longitude,accuracy
IN/384321,Jaska,Gujarat,23.7833,72.5667,
IN/384327,Dabhad,Gujarat,23.7833,72.5667,
IN/384328,DABHODA (Mahesana),Gujarat,23.7833,72.5667,
IN/384350,Taranga Hill R S,Gujarat,23.7833,72.5667,
IN/384365,Chhablia,Gujarat,23.7833,72.5667,
IN/384370,Kahipur,Gujarat,23.7833,72.5667,
IN/384375,Kamana,Gujarat,23.7833,72.5667,
IN/384410,Balol,Gujarat,22.5333,72.1167,4
IN/384411,Maguna,Gujarat,23.5833,72.2833,4
IN/384430,Santhal,Gujarat,23.4833,72.25,4
IN/384435,Linch,Gujarat,23.4833,72.25,
IN/384440,Lakhvad,Gujarat,23.2,72.2167,
IN/384513,Dabhi,Gujarat,23.5037,72.1241,
IN/385001,Palanpur Joravar,Gujarat,24,71.9333,
IN/385002,Palace,Gujarat,24,71.9333,
IN/385010,Chitrasani,Gujarat,24,71.9333,
IN/385011,Jagana,Gujarat,24,71.9333,
IN/385111,Chadotar,Gujarat,24.2333,72.5167,
IN/385112,Malan,Gujarat,24.2333,72.5167,4
IN/385120,Danta Bhavangadh,Gujarat,24.1833,72.7667,4
IN/385135,Iqbalgadh,Gujarat,24.2083,72.6417,
IN/385210,Chhapi,Gujarat,24,71.9333,
IN/385215,Majadar,Gujarat,24,71.9333,
IN/385315,Ramsan,Gujarat,24.4333,72.05,4
IN/385325,Tervada,Gujarat,24.0333,71.7,4
IN/385340,Radhanpur,Gujarat,23.8333,71.6,4
IN/385350,Santalpur,Gujarat,23.75,71.1667,4
IN/385410,Vadgam,Gujarat,23.3667,71.7667,4
IN/385421,Mamadpur,Gujarat,23.3667,71.7667,
IN/385505,Dantiwada Colony,Gujarat,24.0333,71.9267,
IN/385510,Chandisar,Gujarat,24.2167,72.3167,4
IN/385515,Gadh,Gujarat,24.2167,72.3167,
IN/385516,Samdhi Ranajivas,Gujarat,24.2167,72.3167,
IN/385519,Madana,Gujarat,24.2167,72.3167,
IN/385526,Basu,Gujarat,24.0667,72.3167,4
IN/385531,Madetha,Gujarat,24.0333,71.9267,
IN/385533,Kamboi Bk,Gujarat,24.0333,71.9267,
IN/385541,Lakhani,Gujarat,24.0333,71.9267,
IN/385546,Panthavada,Gujarat,24.0333,71.9267,
